연도,보증종류,건수,금액(억원)
2016,주택분양보증,2,517
2016,주택임대보증,  ,  
2016,주상복합분양보증,  ,  
2016,조합주택시공보증,3,502
2016,하자보수보증,11,13
2016,인허가보증,  ,  
2016,감리비예치보증,  ,  
2016,임대보증금보증,  ,  
2016,PF보증,  ,  
2016,하도급보증,  ,  
2016,모기지보증,1,9
2016,주택구입자금보증,231,416
2016,주택임차자금보증,2,1
2016,정비사업자금,35,40
2016,리모델링자금,  ,  
2016,전세임대주택반환,  ,  
2016,기금전세자금대출,  ,  
2016,전세보증금반환보증,27,34
2016,전세대출특약보증,31,32
2016,전세임대사업 임차료지급보증,  ,  
2016,임대주택매입자금보증,1,7
2017,주택분양보증,  ,  
2017,주택임대보증,  ,  
2017,주상복합분양보증,  ,  
2017,조합주택시공보증,  ,  
2017,하자보수보증,55,33
2017,인허가보증,  ,  
2017,감리비예치보증,  ,  
2017,임대보증금보증,  ,  
2017,PF보증,1,100
2017,하도급보증,  ,  
2017,모기지보증,  ,  
2017,주택구입자금보증,447,724
2017,주택임차자금보증,4,2
2017,정비사업자금,38,45
2017,리모델링자금,  ,  
2017,전세임대주택반환,3,2
2017,기금전세자금대출,  ,  
2017,전세보증금반환보증,33,74
2017,전세대출특약보증,53,77
2017,전세임대사업 임차료지급보증,19,0.4
2017,임대주택매입자금보증,1,3
2018,주택분양보증,  ,  
2018,주택임대보증,1,231
2018,주상복합분양보증,  ,  
2018,조합주택시공보증,2,110
2018,하자보수보증,26,115
2018,인허가보증,  ,  
2018,감리비예치보증,  ,  
2018,임대보증금보증,1,23
2018,PF보증,  ,  
2018,하도급보증,22,145
2018,모기지보증,2,75
2018,주택구입자금보증,954,1444
2018,주택임차자금보증,  ,  
2018,정비사업자금,75,103
2018,리모델링자금,  ,
2018,전세임대주택반환,8,4
2018,기금전세자금대출,1,0.1
2018,전세보증금반환보증,372,792
2018,전세대출특약보증,203,286
2018,전세임대사업 임차료지급보증,31,0.7
2018,임대주택매입자금보증,  ,
2019,주택분양보증,1,2022
2019,주택임대보증,,
2019,주상복합분양보증,,
2019,조합주택시공보증,2,321
2019,하자보수보증,20,114
