지역,구분,2020년,2021년,2022년,2023년,2024년
서울,건수,988 ,1217 ,1870 ,5065 ,4371 
서울,금액,2111 ,2809 ,4548 ,13204 ,11181 
인천,건수,224 ,357 ,1556 ,6410 ,6091 
인천,금액,393 ,558 ,2773 ,11889 ,11213 
경기,건수,644 ,780 ,1505 ,6211 ,6383 
경기,금액,1383 ,1892 ,3554 ,14889 ,14909 
부산,건수,78 ,64 ,121 ,421 ,801 
부산,금액,140 ,106 ,224 ,872 ,1526 
대구,건수,13 ,36 ,50 ,187 ,406 
대구,금액,25 ,69 ,124 ,482 ,863 
광주,건수,7 ,8 ,25 ,57 ,99 
광주,금액,12 ,15 ,55 ,140 ,177 
대전,건수,10 ,25 ,16 ,72 ,94 
대전,금액,11 ,21 ,35 ,155 ,194 
울산,건수,26 ,8 ,20 ,89 ,180 
울산,금액,33 ,9 ,41 ,202 ,374 
세종,건수,2 ,,3 ,26 ,48 
세종,금액,4 ,,7 ,55 ,77 
강원,건수,74 ,24 ,13 ,45 ,59 
강원,금액,115 ,38 ,22 ,88 ,119 
충북,건수,37 ,14 ,27 ,41 ,180 
충북,금액,58 ,20 ,40 ,84 ,325 
충남,건수,45 ,25 ,41 ,168 ,435 
충남,금액,47 ,34 ,59 ,332 ,817 
전북,건수,38 ,20 ,22 ,72 ,187 
전북,금액,60 ,29 ,31 ,135 ,349 
전남,건수,25 ,129 ,35 ,87 ,164 
전남,금액,30 ,95 ,29 ,106 ,211 
경북,건수,85 ,42 ,66 ,135 ,764 
경북,금액,104 ,42 ,72 ,225 ,1386 
경남,건수,109 ,42 ,44 ,153 ,600 
경남,금액,149 ,44 ,69 ,293 ,1019 
제주,건수,3 ,8 ,29 ,111 ,79 
제주,금액,7 ,9 ,43 ,196 ,155 
