기준연월,구분,주택,보증유형,건수,금액(백만원),비율(건수기준_퍼센트)
2015-12-01,단독주택,단독주택,전세보증금반환보증,73,7983,1
2015-12-01,단독주택,다가구주택,전세보증금반환보증,76,8798,1
2015-12-01,공동주택,다세대주택,전세보증금반환보증,185,24670,2
2015-12-01,공동주택,연립주택,전세보증금반환보증,47,7476,0
2015-12-01,공동주택,오피스텔,전세보증금반환보증,108,12966,1
2015-12-01,공동주택,아파트,전세보증금반환보증,9787,1795309,95
2015-12-01,단독주택,단독주택,전세자금대출특약보증,40,3297,1
2015-12-01,단독주택,다가구주택,전세자금대출특약보증,43,3453,1
2015-12-01,공동주택,다세대주택,전세자금대출특약보증,74,6496,2
2015-12-01,공동주택,연립주택,전세자금대출특약보증,12,1040,0
2015-12-01,공동주택,오피스텔,전세자금대출특약보증,32,3463,1
2015-12-01,공동주택,아파트,전세자금대출특약보증,4267,482342,96
2016-03-01,단독주택,단독주택,전세보증금반환보증,35,4461,1
2016-03-01,단독주택,다가구주택,전세보증금반환보증,41,5821,1
2016-03-01,공동주택,다세대주택,전세보증금반환보증,78,10905,2
2016-03-01,공동주택,연립주택,전세보증금반환보증,17,2984,0
2016-03-01,공동주택,오피스텔,전세보증금반환보증,23,4032,1
2016-03-01,공동주택,아파트,전세보증금반환보증,3893,857485,95
2016-03-01,단독주택,단독주택,전세자금대출특약보증,32,2904,1
2016-03-01,단독주택,다가구주택,전세자금대출특약보증,31,3007,1
2016-03-01,공동주택,다세대주택,전세자금대출특약보증,62,6204,2
2016-03-01,공동주택,연립주택,전세자금대출특약보증,13,1758,0
2016-03-01,공동주택,오피스텔,전세자금대출특약보증,14,1790,0
2016-03-01,공동주택,아파트,전세자금대출특약보증,2895,401727,95
2016-06-01,단독주택,단독주택,전세보증금반환보증,60,8974,1
2016-06-01,단독주택,다가구주택,전세보증금반환보증,85,13940,1
2016-06-01,공동주택,다세대주택,전세보증금반환보증,222,31516,4
2016-06-01,공동주택,연립주택,전세보증금반환보증,54,7462,1
2016-06-01,공동주택,오피스텔,전세보증금반환보증,38,7261,1
2016-06-01,공동주택,아파트,전세보증금반환보증,5830,1249692,93
2016-06-01,단독주택,단독주택,전세자금대출특약보증,53,5865,1
2016-06-01,단독주택,다가구주택,전세자금대출특약보증,73,8455,1
2016-06-01,공동주택,다세대주택,전세자금대출특약보증,204,19517,4
2016-06-01,공동주택,연립주택,전세자금대출특약보증,50,5152,1
2016-06-01,공동주택,오피스텔,전세자금대출특약보증,34,5018,1
