상품명,발급년도,월,주택유형,지역,건수,보증금액  
전세보증금반환보증,2016,01,다가구주택,경기도,2,230000000
전세보증금반환보증,2016,01,다가구주택,경상남도,1,70000000
전세보증금반환보증,2016,01,다가구주택,대구광역시,1,100000000
전세보증금반환보증,2016,01,다가구주택,대전광역시,1,200000000
전세보증금반환보증,2016,01,다가구주택,서울특별시,6,985000000
전세보증금반환보증,2016,01,다가구주택,전라북도,1,58750000
전세보증금반환보증,2016,01,다세대주택,경기도,4,397500000
전세보증금반환보증,2016,01,다세대주택,광주광역시,1,225000000
전세보증금반환보증,2016,01,다세대주택,부산광역시,1,55000000
전세보증금반환보증,2016,01,다세대주택,서울특별시,18,2862450000
전세보증금반환보증,2016,01,다세대주택,인천광역시,1,90000000
전세보증금반환보증,2016,01,단독주택,경기도,4,540000000
전세보증금반환보증,2016,01,단독주택,서울특별시,3,355000000
전세보증금반환보증,2016,01,단독주택,충청북도,1,110000000
전세보증금반환보증,2016,01,아파트,강원도,2,270000000
전세보증금반환보증,2016,01,아파트,경기도,278,60181600000
전세보증금반환보증,2016,01,아파트,경상남도,15,2540200000
전세보증금반환보증,2016,01,아파트,경상북도,9,1495000000
전세보증금반환보증,2016,01,아파트,광주광역시,10,1829000000
전세보증금반환보증,2016,01,아파트,대구광역시,41,8482250000
전세보증금반환보증,2016,01,아파트,대전광역시,9,1579000000
전세보증금반환보증,2016,01,아파트,부산광역시,41,8020800000
전세보증금반환보증,2016,01,아파트,서울특별시,112,28089550000
전세보증금반환보증,2016,01,아파트,세종특별자치시,1,130000000
전세보증금반환보증,2016,01,아파트,울산광역시,8,1432500000
전세보증금반환보증,2016,01,아파트,인천광역시,138,29948850000
전세보증금반환보증,2016,01,아파트,전라북도,4,772500000
전세보증금반환보증,2016,01,아파트,충청남도,12,2226750000
전세보증금반환보증,2016,01,아파트,충청북도,7,1135000000
전세보증금반환보증,2016,01,연립주택,서울특별시,2,430000000
전세보증금반환보증,2016,01,연립주택,인천광역시,2,150000000
전세보증금반환보증,2016,01,오피스텔,경기도,2,585000000
전세보증금반환보증,2016,01,오피스텔,경상남도,1,140000000
전세보증금반환보증,2016,01,오피스텔,부산광역시,1,210000000
전세보증금반환보증,2016,01,오피스텔,서울특별시,2,207500000
전세보증금반환보증,2016,01,오피스텔,인천광역시,1,128000000
전세보증금반환보증,2016,02,다가구주택,경기도,4,680000000
전세보증금반환보증,2016,02,다가구주택,서울특별시,1,150000000
전세보증금반환보증,2016,02,다가구주택,인천광역시,2,310000000
전세보증금반환보증,2016,02,다세대주택,경기도,6,730000000
전세보증금반환보증,2016,02,다세대주택,서울특별시,12,1679000000
전세보증금반환보증,2016,02,다세대주택,인천광역시,3,225000000
전세보증금반환보증,2016,02,단독주택,경기도,3,543000000
전세보증금반환보증,2016,02,단독주택,서울특별시,2,230000000
전세보증금반환보증,2016,02,단독주택,충청북도,1,50000000
전세보증금반환보증,2016,02,아파트,강원도,2,300000000
전세보증금반환보증,2016,02,아파트,경기도,563,1.31E+11
전세보증금반환보증,2016,02,아파트,경상남도,18,2746250000
전세보증금반환보증,2016,02,아파트,경상북도,20,3861000000
전세보증금반환보증,2016,02,아파트,광주광역시,11,2014300000
전세보증금반환보증,2016,02,아파트,대구광역시,86,17258500000
전세보증금반환보증,2016,02,아파트,대전광역시,17,2868000000
전세보증금반환보증,2016,02,아파트,부산광역시,50,8511000000
전세보증금반환보증,2016,02,아파트,서울특별시,179,45782940000
전세보증금반환보증,2016,02,아파트,세종특별자치시,3,400000000
전세보증금반환보증,2016,02,아파트,울산광역시,17,3358000000
전세보증금반환보증,2016,02,아파트,인천광역시,495,1.02E+11
전세보증금반환보증,2016,02,아파트,전라남도,1,79000000
전세보증금반환보증,2016,02,아파트,전라북도,3,415000000
전세보증금반환보증,2016,02,아파트,충청남도,19,3444250000
전세보증금반환보증,2016,02,아파트,충청북도,7,1340000000
전세보증금반환보증,2016,02,연립주택,경기도,1,80000000
전세보증금반환보증,2016,02,연립주택,서울특별시,3,592500000
전세보증금반환보증,2016,02,오피스텔,경기도,3,645000000
전세보증금반환보증,2016,02,오피스텔,대구광역시,1,90000000
전세보증금반환보증,2016,02,오피스텔,서울특별시,1,90000000
전세보증금반환보증,2016,02,오피스텔,인천광역시,1,100000000
전세보증금반환보증,2016,03,다가구주택,경기도,9,1305000000
전세보증금반환보증,2016,03,다가구주택,대구광역시,2,140000000
전세보증금반환보증,2016,03,다가구주택,대전광역시,1,65000000
전세보증금반환보증,2016,03,다가구주택,서울특별시,8,1322500000
전세보증금반환보증,2016,03,다가구주택,인천광역시,2,205000000
전세보증금반환보증,2016,03,다세대주택,경기도,8,985000000
전세보증금반환보증,2016,03,다세대주택,대구광역시,1,116100000
전세보증금반환보증,2016,03,다세대주택,부산광역시,2,200000000
전세보증금반환보증,2016,03,다세대주택,서울특별시,20,3295100000
전세보증금반환보증,2016,03,다세대주택,인천광역시,1,45000000
전세보증금반환보증,2016,03,단독주택,경기도,6,885000000
전세보증금반환보증,2016,03,단독주택,경상남도,4,285000000
전세보증금반환보증,2016,03,단독주택,부산광역시,3,270000000
전세보증금반환보증,2016,03,단독주택,서울특별시,5,862500000
전세보증금반환보증,2016,03,단독주택,인천광역시,2,230000000
전세보증금반환보증,2016,03,단독주택,제주특별자치도,1,100000000
전세보증금반환보증,2016,03,아파트,강원도,2,225000000
전세보증금반환보증,2016,03,아파트,경기도,868,2.12E+11
전세보증금반환보증,2016,03,아파트,경상남도,32,5243750000
전세보증금반환보증,2016,03,아파트,경상북도,29,4679850000
전세보증금반환보증,2016,03,아파트,광주광역시,11,2060000000
전세보증금반환보증,2016,03,아파트,대구광역시,88,16915500000
전세보증금반환보증,2016,03,아파트,대전광역시,25,4547750000
전세보증금반환보증,2016,03,아파트,부산광역시,52,9175100000
전세보증금반환보증,2016,03,아파트,서울특별시,237,56301250000
